store,latitude,longitude
424 East 155th Street NY,40.819688,-73.915091
137 West 136th Street NY,40.815421,-73.941761
43-11 28th Avenue NY,40.764198,-73.910785
435 East 74th Street NY,40.76879,-73.953285
211 Freeman Street NY,40.734851,-73.95295
232 East 32nd Street NY,40.743613,-73.977998
159 West 25th Street NY,40.745313,-73.993793
486 Brooklyn Avenue NY,40.662713,-73.946101
70-38 67th Place NY,40.703761,-73.886496
194 Devoe Street NY,40.71362,-73.943076
158-46 76th Avenue NY,40.725212,-73.809179
